date,lat,lng,daichi_distance,Iodine_131,Cesium_134,Cesium_137,Cesium_134_Plus_Cesium_137C
2011-04-06,35.6,140.883333,203,4.9,4.4,4.1,8.5
2011-04-08,36.383333,140.65,120.4,600,38,43,81
2011-04-12,36.383333,140.65,120.4,400,33,33,66
2011-04-14,35.366666,140.9,228.8,NA,3.8,4.1,7.9
2011-04-21,37.633333,141.55,51.4,NA,16,18,34
2011-04-22,36.466666,141,106.2,NA,1.5,1.8,3.3
2011-05-26,35.35,140.5,235.2,NA,7.2,10,17.2
2011-06-22,36.05,140.783333,154.1,NA,8.2,11,19.2
2011-07-01,35.75,141.3,187.4,NA,1.1,3.4,4.5
2011-10-28,36,141,158.1,NA,11,15,26
2011-11-18,NA,NA,NA,NA,0.047,0.096,0.143
2011-12-21,37.25,141.216666,25.1,NA,2.9,4.2,7.1
2011-12-21,37.25,141.216666,25.1,NA,16,24,40
2011-12-21,37.25,141.216666,25.1,NA,8.7,13,21.7
2012-01-18,37.2,141.016666,24.7,NA,18,29,47
2012-02-01,NA,NA,NA,NA,0.73,1.1,1.83
2012-02-19,36.383333,140.766666,117.8,NA,2.2,3.1,5.3
2012-02-21,35.95,140.866666,164.3,NA,0.91,1.1,2.01
2012-06-04,38,148.5,659.9,NA,0.05,0.15,0.2
2012-06-24,42.283333,169.05,2440.2,NA,0.44,0.78,1.22
2012-06-26,37.8,141.233333,45.6,NA,18,33,51
2012-06-30,38.983333,151.733333,950.5,NA,0.17,0.24,0.41
2012-07-21,39.666666,142.166666,268.4,NA,0.04,0.094,0.134
2012-08-01,42.266666,141.366666,539.5,NA,0.17,0.38,0.55
2012-08-06,36.5,141.583333,113.6,NA,0.23,0.44,0.67
2012-08-20,36.183333,140.85,138.6,NA,0.18,0.39,0.57
2012-08-29,35.95,140.933333,163.9,NA,0.18,0.45,0.63
2012-08-29,35.766666,140.983333,184.1,NA,0.45,0.94,1.39
2012-09-03,33.333333,134.2,768,NA,0.14,0.29,0.43
2012-10-16,36.266666,140.916666,128.8,NA,0.14,0.34,0.48
2012-10-17,35.35,141.183333,230.8,NA,0.49,1.1,1.59
2012-10-28,44.883333,144.433333,877,NA,0.029,0.11,0.139
2012-11-05,NA,NA,NA,NA,0.79,1.6,2.39
2012-11-09,NA,NA,NA,NA,0.4,0.71,1.11
2012-12-12,35.566666,141.133333,206.5,NA,0.12,0.29,0.41
2013-01-22,42.75,144.5,661.7,NA,0.03,0.13,0.16
2013-02-15,49.433333,155.983333,1793.9,NA,0.022,0.11,0.132
2013-07-29,37.266666,141.133333,19.4,NA,0.97,2.6,3.57
2013-07-29,37.316666,141.216666,20,NA,2.2,5,7.2
2013-09-11,37.3,141.05,13.6,NA,23,51,74
2013-09-19,44.05,145.25,817.9,NA,0.032,0.16,0.192
2013-09-19,44.05,145.25,817.9,NA,0.058,0.19,0.248
2013-09-19,44.05,145.25,817.9,NA,0.032,0.16,0.192
2013-09-19,44.05,145.25,817.9,NA,0.058,0.19,0.248
2013-09-30,37.333333,141.166666,15.4,NA,1.5,3.2,4.7
2013-09-30,37.333333,141.166666,15.4,NA,1.9,6.1,8
2013-10-02,42.116666,141.283333,522.5,NA,0.031,0.094,0.125
2013-10-02,42.116666,141.283333,522.5,NA,0.036,0.16,0.196
2013-10-02,42.116666,141.283333,522.5,NA,0.031,0.094,0.125
2013-10-02,42.116666,141.283333,522.5,NA,0.036,0.16,0.196
2013-10-07,42.45,140.85,559.3,NA,0.016,0.038,0.054
2013-11-24,37.316666,141.15,15.6,NA,1.9,4.9,6.8
2013-11-24,37.316666,141.15,15.6,NA,1.2,3,4.2
2013-12-19,NA,NA,NA,NA,0.04,0.082,0.122
2014-06-26,43.533333,170.833333,2595.2,NA,0.15,0.49,0.64
2014-07-08,37.333333,141.083333,10.8,NA,0.97,3,3.97
2014-07-09,37.466666,141.116666,9,NA,0.91,2.7,3.61
2014-07-09,37.466666,141.333333,27,NA,0.95,2.9,3.85
2014-09-04,45.966666,153.5,1402.1,NA,0.029,0.13,0.159
2014-09-09,NA,NA,NA,NA,0.042,0.12,0.162
2014-09-09,NA,NA,NA,NA,0.017,0.07,0.087
2014-09-16,38.35,142.383333,157.2,NA,0.057,0.27,0.327
2014-09-18,NA,NA,NA,NA,0.03,0.064,0.094
2014-09-28,40.75,141.966666,378.8,NA,0.031,0.16,0.191
2014-09-28,40.866666,141.816666,389,NA,0.024,0.13,0.154
2014-09-29,NA,NA,NA,NA,0.029,0.1,0.129
2014-09-30,38,175,2972,NA,0.19,0.9,1.09
2014-09-30,38,175,2972,NA,0.23,1,1.23
2015-03-15,37.333333,141.1,11.5,NA,1.7,6.8,8.5
2015-03-15,37.333333,141.1,11.5,NA,2.4,9.1,11.5
2015-04-07,36.883333,140.8,63.3,NA,0.17,0.59,0.76
2015-04-07,36.883333,140.8,63.3,NA,0.24,0.97,1.21
2015-04-14,40.916666,141.766666,393.7,NA,0.024,0.12,0.144
2015-04-14,40.916666,141.766666,393.7,NA,0.7,2.6,3.3
2015-04-17,37.616666,141.6,54.6,NA,0.062,0.29,0.352
2015-04-17,37.616666,141.6,54.6,NA,0.066,0.28,0.346
2015-04-20,37.883333,141.016666,51.4,NA,0.18,0.68,0.86
2015-04-20,37.883333,141.016666,51.4,NA,0.2,0.73,0.93
2015-07-14,37.783333,141.016666,40.2,NA,0.042,0.21,0.252
2015-07-14,37.783333,141.016666,40.2,NA,0.044,0.27,0.314
